SampleID,#chrom1,start1,end1,chrom2,start2,end2,somaticity1,somaticity2,svtype,eventScore,eventSize,eventInversion,evidence1,clonalityRatio1,evidence2,clonalityRatio2,source1,source2,gene1,cancerGene1,nearestCodingGeneUpstream1,nearestCodingGeneUpstreamDistance1,nearestCancerGeneUpstream1,nearestCancerGeneUpstreamDistance1,nearestCodingGeneDownstream1,nearestCodingGeneDownstreamDistance1,nearestCancerGeneDownstream1,nearestCancerGeneDownstreamDistance1,gene2,cancerGene2,nearestCodingGeneUpstream2,nearestCodingGeneUpstreamDistance2,nearestCancerGeneUpstream2,nearestCancerGeneUpstreamDistance2,nearestCodingGeneDownstream2,nearestCodingGeneDownstreamDistance2,nearestCancerGeneDownstream2,nearestCancerGeneDownstreamDistance2,dbSUPERenhancer1,dbSUPERenhancer2,rescuedEnhancerHitCandidate,TADindices,affectedCodingGenesTADestimate,affectedCancerGenesTADestimate,directFusionCandidates,directFusionCandidatesBothCancer,indirectFusionCandidatesLeftCancerRightAny,indirectFusionCandidatesRightCancerLeftAny,indirectFusionCandidatesAny
ICGC_GBM56, 12, 124215663, 124215664, 12, 125534118, 125534119, SOMATIC(0/3261), SOMATIC(0/3261), INV, 3, 1318455, INV, 9, 0.167, 9, 0.184, |12:125533849-125534004_INV(2_1_6/12), |12:124215486-124215609_INV(4_0_5/12), ATP6V0A2_7, ., TCTN2, -22716, GTF2H3, -68511, DNAH10, 31379, NCOR2, 593298, ., ., BRI3BP, -18342, DHX37, -60451, AACS, 15807, TMEM132B, 137264, SE_13730, ., FALSE, 2209_2210_2211_2212, ARL6IP4_RILPL2_TMEM132C_ABCB9_GTF2H3_EIF2B1_UBC_TCTN2_B3GNT4_OGFOD2_DIABLO_MPHOSPH9_ZCCHC8_SCARB1_TMED2_CCDC62_RILPL1_VPS33A_HCAR2_SBNO1_RSRC2_DDX55_TMEM132B_HCAR3_HCAR1_PITPNM2_SETD8_DNAH10OS_VPS37B_DENR_KNTC1_FAM101A_DHX37_CCDC92_LRRC43_C12orf65_RP11-512M8.5_ZNF664_CLIP1_ATP6V0A2_DNAH10_BRI3BP_SNRNP35_HIP1R_AACS_NCOR2_CDK2AP1, SETD8_DIABLO_CLIP1_ZCCHC8_GTF2H3_UBC_NCOR2_DHX37_TMEM132B, ATP6V0A2-(TRUNC), ., ~GTF2H3/~NCOR2-~BRI3BP/~AACS, ATP6V0A2-~DHX37/~TMEM132B, ATP6V0A2-~BRI3BP/~AACS
ICGC_GBM56, 12, 124215663, 124215664, 12, 125548985, 125548986, SOMATIC(0/3261), SOMATIC(0/3261), TRA, 5, 1333322, NORMAL, 9, 0.167, 9, 0.176, |12:125548612-125548888(3_1_5/12), |12:124215486(2_3_4/11), ATP6V0A2_7, ., TCTN2, -22716, GTF2H3, -68511, DNAH10, 31379, NCOR2, 593298, ., ., BRI3BP, -33209, DHX37, -75318, AACS, 940, TMEM132B, 122397, SE_13730, ., FALSE, 2209_2210_2211_2212, ARL6IP4_RILPL2_TMEM132C_ABCB9_GTF2H3_EIF2B1_UBC_TCTN2_B3GNT4_OGFOD2_DIABLO_MPHOSPH9_ZCCHC8_SCARB1_TMED2_CCDC62_RILPL1_VPS33A_HCAR2_SBNO1_RSRC2_DDX55_TMEM132B_HCAR3_HCAR1_PITPNM2_SETD8_DNAH10OS_VPS37B_DENR_KNTC1_FAM101A_DHX37_CCDC92_LRRC43_C12orf65_RP11-512M8.5_ZNF664_CLIP1_ATP6V0A2_DNAH10_BRI3BP_SNRNP35_HIP1R_AACS_NCOR2_CDK2AP1, SETD8_DIABLO_CLIP1_ZCCHC8_GTF2H3_UBC_NCOR2_DHX37_TMEM132B, ATP6V0A2-(TRUNC), ., ~GTF2H3/~NCOR2-~BRI3BP/~AACS, ATP6V0A2-~DHX37/~TMEM132B, ATP6V0A2-~BRI3BP/~AACS
ICGC_GBM2, 5, 122911566, 122911567, 5, 151156686, 151156687, SOMATIC(0/3261), SOMATIC(0/3261), INV, 5, 28245120, INV, 25, 0.455, 25, 0.463, 5:151156687_INV|(3_9_13/13), 5:122911567_INV|(9_3_13/13), CSNK1G3_6, CSNK1G3, CEP120, -152281, PRDM6, -381607, ZNF608, 1061042, LMNB1, 3200749, G3BP1_intron4, G3BP1, ATOX1, -4594, FAT2, -208182, GLRA1, 45388, SAP30L, 2668831, ., SE_09971, FALSE, 1074_1075_1106_1107_1108, RBM22_ZNF474_GPX3_ZNF608_NMUR2_SLC36A1_FAT2_ATOX1_GM2A_SRFBP1_PRDM6_PPIC_IRGM_SLC36A3_SNX24_SMIM3_ANXA6_GLRA1_CCDC69_SLC36A2_CEP120_ZNF300_LOX_AC010441.1_G3BP1_SNCAIP_CSNK1G3_SNX2_SPARC_TNIP1_DCTN4, G3BP1_CSNK1G3_FAT2_PRDM6, CSNK1G3-G3BP1, CSNK1G3-G3BP1, CSNK1G3-G3BP1, CSNK1G3-G3BP1, CSNK1G3-G3BP1
ICGC_GBM2, 5, 159516528, 159516529, 5, 110141458, 110141459, SOMATIC(0/3261), SOMATIC(0/3261), DUP, 5, 49375070, NORMAL, 5, 0.147, 11, 0.250, |5:110141459(1_0_4/5), 5:159516530|(3_2_6/6), PWWP2A_4, PWWP2A, TTC1, -23979, IL12B, -758634, FABP6, 97846, PTTG1, 332301, ., ., SLC25A46, -40602, EFNA5, -3134863, TSLP, 264302, TSLP, 264302, ., ., FALSE, 1059_1060_1061_1113_1114, TSLP_WDR36_MAN2A1_AC026407.1_IL12B_PTTG1_AC011366.3_NREP_THG1L_CAMK4_SLU7_CCNJL_STARD4_CLINT1_TTC1_C1QTNF2_FABP6_C5orf52_SOX30_EPB41L4A_RNF145_TMEM232_ADRA1B_EBF1_SLC25A46_PWWP2A_UBLCP1_LSM11_C5orf54, MIR146A_TSLP_EBF1_IL12B_PWWP2A_PTTG1_CLINT1_RNF145, PWWP2A-(TRUNC), PWWP2A-(TRUNC), PWWP2A-~SLC25A46/~TSLP, PWWP2A-~EFNA5/~TSLP, PWWP2A-~SLC25A46/~TSLP
ICGC_GBM2, 6, 153329430, 153329431, 6, 154830246, 154830247, SOMATIC(0/3261), SOMATIC(0/3261), DUP, 5, 1500816, NORMAL, 6, 0.150, 6, 0.150, 6:154830247|(1_0_5/5), |6:153329431(0_1_5/5), RGS17_5, ., MTRF1L, -5611, SYNE1, -370495, AL590867.1, 223025, OPRM1, 1002201, CNKSR3_intron1, ., IPCEF1, -152321, OPRM1, -262246, SCAF8, 224213, ARID1B, 2268817, ., SE_29259, FALSE, 1300_1301_1302_1303, OPRM1_SYNE1_MYCT1_CLDN20_SCAF8_IPCEF1_TIAM2_RGS17_VIP_CNKSR3_FBXO5_MTRF1L_AL590867.1_TFB1M, SYNE1_OPRM1, RGS17-CNKSR3, ., ~SYNE1/~OPRM1-CNKSR3, RGS17-~OPRM1/, RGS17-CNKSR3
ICGC_GBM2, 5, 122911566, 122911567, 5, 151156686, 151156687, SOMATIC(0/3261), SOMATIC(0/3261), INV, 5, 28245120, INV, 25, 0.455, 25, 0.463, 5:151156687_INV|(3_9_13/13), 5:122911567_INV|(9_3_13/13), CSNK1G3_6, CSNK1G3, CEP120, -152281, PRDM6, -381607, ZNF608, 1061042, LMNB1, 3200749, G3BP1_intron4, G3BP1, ATOX1, -4594, FAT2, -208182, GLRA1, 45388, SAP30L, 2668831, ., SE_09971, FALSE, 1074_1075_1106_1107_1108, RBM22_ZNF474_GPX3_ZNF608_NMUR2_SLC36A1_FAT2_ATOX1_GM2A_SRFBP1_PRDM6_PPIC_IRGM_SLC36A3_SNX24_SMIM3_ANXA6_GLRA1_CCDC69_SLC36A2_CEP120_ZNF300_LOX_AC010441.1_G3BP1_SNCAIP_CSNK1G3_SNX2_SPARC_TNIP1_DCTN4, G3BP1_CSNK1G3_FAT2_PRDM6, CSNK1G3-G3BP1, CSNK1G3-G3BP1, CSNK1G3-G3BP1, CSNK1G3-G3BP1, CSNK1G3-G3BP1
ICGC_GBM2, 5, 159516528, 159516529, 5, 110141458, 110141459, SOMATIC(0/3261), SOMATIC(0/3261), DUP, 5, 49375070, NORMAL, 5, 0.147, 11, 0.250, |5:110141459(1_0_4/5), 5:159516530|(3_2_6/6), PWWP2A_4, PWWP2A, TTC1, -23979, IL12B, -758634, FABP6, 97846, PTTG1, 332301, ., ., SLC25A46, -40602, EFNA5, -3134863, TSLP, 264302, TSLP, 264302, ., ., FALSE, 1059_1060_1061_1113_1114, TSLP_WDR36_MAN2A1_AC026407.1_IL12B_PTTG1_AC011366.3_NREP_THG1L_CAMK4_SLU7_CCNJL_STARD4_CLINT1_TTC1_C1QTNF2_FABP6_C5orf52_SOX30_EPB41L4A_RNF145_TMEM232_ADRA1B_EBF1_SLC25A46_PWWP2A_UBLCP1_LSM11_C5orf54, MIR146A_TSLP_EBF1_IL12B_PWWP2A_PTTG1_CLINT1_RNF145, PWWP2A-(TRUNC), PWWP2A-(TRUNC), PWWP2A-~SLC25A46/~TSLP, PWWP2A-~EFNA5/~TSLP, PWWP2A-~SLC25A46/~TSLP
ICGC_GBM2, 6, 153329430, 153329431, 6, 154830246, 154830247, SOMATIC(0/3261), SOMATIC(0/3261), DUP, 5, 1500816, NORMAL, 6, 0.150, 6, 0.150, 6:154830247|(1_0_5/5), |6:153329431(0_1_5/5), RGS17_5, ., MTRF1L, -5611, SYNE1, -370495, AL590867.1, 223025, OPRM1, 1002201, CNKSR3_intron1, ., IPCEF1, -152321, OPRM1, -262246, SCAF8, 224213, ARID1B, 2268817, ., SE_29259, FALSE, 1300_1301_1302_1303, OPRM1_SYNE1_MYCT1_CLDN20_SCAF8_IPCEF1_TIAM2_RGS17_VIP_CNKSR3_FBXO5_MTRF1L_AL590867.1_TFB1M, SYNE1_OPRM1, RGS17-CNKSR3, ., ~SYNE1/~OPRM1-CNKSR3, RGS17-~OPRM1/, RGS17-CNKSR3
ICGC_GBM31, 1, 155853387, 155853388, 1, 155853424, 155853425, SOMATIC(3/3261), SOMATIC(0/3261), DEL, 5, 37, NORMAL, 3, 0.079, 3, 0.100, |1:155853425(1_2_0/0), 1:155853388|(1_2_0/0), SYT11_4, ., GON4L, -24197, ASH1L, -320790, RIT1, 14212, RIT1, 14212, SYT11_4, ., GON4L, -24234, ASH1L, -320827, RIT1, 14175, RIT1, 14175, SE_07501_SE_08564_SE_04574, SE_08564_SE_07501_SE_04574, TRUE, 157, CCT3_PKLR_SYT11_LAMTOR2_SMG5_ASH1L_DAP3_C1orf85_LMNA_SH2D2A_HCN3_SCAMP3_RRNAD1_ARHGEF11_RIT1_HAPLN2_LRRC71_THBS3_SSR2_RUSC1_UBQLN4_TRIM46_PEAR1_RP11-201K10.3_IQGAP3_BCAN_INSRR_C1orf61_MEF2D_PMF1-BGLAP_SEMA4A_TSACC_KIAA0907_RHBG_GPATCH4_FDPS_ISG20L2_TTC24_MTX1_ARHGEF2_CRABP2_MEX3A_BGLAP_MUC1_NTRK1_CLK2_PAQR6_HDGF_PMF1_FAM189B_VHLL_GBA_YY1AP1_TMEM79_KRTCAP2_APOA1BP_RXFP4_SLC25A44_MSTO1_MRPL24_RAB25_NES_GON4L_PRCC, SEMA4A_HDGF_PKLR_THBS3_LAMTOR2_PEAR1_ASH1L_MIR9-1_ARHGEF2_LMNA_SH2D2A_MUC1_INSRR_ARHGEF11_NTRK1_RIT1_PRCC, ., ., ~ASH1L/~RIT1-SYT11, SYT11-~ASH1L/~RIT1, .
ICGC_GBM31, 1, 207741289, 207741290, 1, 207705404, 207705405, SOMATIC(2/3261), UNKNOWN(0/3261), INV, 4, 35885, INV, 8, 0.211, 0, UNKNOWN, |1:207705405_INV(3_0_5/14), _, CR1_26, CR1, CR2, -78050, CR2, -78050, CR1L, 77169, PLXNA2, 454298, CR1_intron9, CR1, CR2, -42165, CR2, -42165, CR1L, 113054, PLXNA2, 490183, ., ., FALSE, 216, C4BPA_PFKFB2_YOD1_CR1_CR1L_CD55_CR2_C1orf116_CD34_CD46_FCAMR_C4BPB, CR2_CR1, CR1_26-CR1_intron9, ., ., ., .
ICGC_GBM31, 2, 55460931, 55460932, 2, 55461111, 55461112, SOMATIC(4/3261), SOMATIC(2/3261), DUP, 5, 180, NORMAL, 7, 0.084, 8, 0.286, 2:55461112|(2_5_0/0), |2:55460932(6_2_0/0), RPS27A_2, ., CLHC1, -1233, RTN4, -121175, MTIF2, 2800, SMEK2, 313497, RPS27A_intron3, ., CLHC1, -1413, RTN4, -121355, MTIF2, 2620, SMEK2, 313317, SE_17211_SE_40528_SE_23008, SE_23008_SE_40528_SE_17211, TRUE, 313, CCDC104_SPTBN1_ASB3_C2orf73_CHAC2_SMEK2_GPR75_EML6_PNPT1_GPR75-ASB3_TSPYL6_RPS27A_ACYP2_PSME4_MTIF2_RTN4_CCDC88A_CLHC1_ERLEC1, SMEK2_RTN4, RPS27A_2-RPS27A_intron3, ., ~RTN4/~SMEK2-RPS27A, RPS27A-~RTN4/~SMEK2, .
